name,face,type_line,subtype_count,subtypes,set,rarity,scryfall_uri
Pet Avengers,Pet Avengers,Creature — Dragon Cat Dog Bird Frog Hero,6,"Dragon, Cat, Dog, Bird, Frog, Hero",msh,common,https://scryfall.com/card/msh/178/pet-avengers?utm_source=api
Aberrant Mind Sorcerer,Aberrant Mind Sorcerer,Creature — Human Elf Shaman Sorcerer,4,"Human, Elf, Shaman, Sorcerer",afr,uncommon,https://scryfall.com/card/afr/44/aberrant-mind-sorcerer?utm_source=api
"Casey & Raph, Hotheads","Casey & Raph, Hotheads",Legendary Creature — Mutant Ninja Human Turtle,4,"Mutant, Ninja, Human, Turtle",tmc,rare,https://scryfall.com/card/tmc/114/casey-&-raph-hotheads?utm_source=api
Curious Farm Animals,Curious Farm Animals,Creature — Boar Elk Bird Ox,4,"Boar, Elk, Bird, Ox",tla,common,https://scryfall.com/card/tla/14/curious-farm-animals?utm_source=api
Dark Leo & Shredder,Dark Leo & Shredder,Legendary Creature — Mutant Ninja Turtle Human,4,"Mutant, Ninja, Turtle, Human",tmt,mythic,https://scryfall.com/card/tmt/142/dark-leo-&-shredder?utm_source=api
Daybreak Ranger // Nightfall Predator,Daybreak Ranger,Creature — Human Archer Ranger Werewolf,4,"Human, Archer, Ranger, Werewolf",isd,rare,https://scryfall.com/card/isd/176/daybreak-ranger-nightfall-predator?utm_source=api
"Donnie & April, Adorkable Duo","Donnie & April, Adorkable Duo",Legendary Creature — Mutant Ninja Human Turtle,4,"Mutant, Ninja, Human, Turtle",tmc,rare,https://scryfall.com/card/tmc/111/donnie-&-april-adorkable-duo?utm_source=api
Joraga Bard,Joraga Bard,Creature — Elf Rogue Bard Ally,4,"Elf, Rogue, Bard, Ally",ddp,common,https://scryfall.com/card/ddp/17/joraga-bard?utm_source=api
"Leonardo, Sewer Samurai","Leonardo, Sewer Samurai",Legendary Creature — Mutant Ninja Turtle Samurai,4,"Mutant, Ninja, Turtle, Samurai",tmt,mythic,https://scryfall.com/card/tmt/17/leonardo-sewer-samurai?utm_source=api
"Mathise, Surge Channeler","Mathise, Surge Channeler",Legendary Creature — Human Elf Shaman Sorcerer,4,"Human, Elf, Shaman, Sorcerer",slx,rare,https://scryfall.com/card/slx/25/mathise-surge-channeler?utm_source=api
"Mikey & Mona, Mutant Sitters","Mikey & Mona, Mutant Sitters",Legendary Creature — Mutant Ninja Turtle Lizard,4,"Mutant, Ninja, Turtle, Lizard",tmc,rare,https://scryfall.com/card/tmc/125/mikey-&-mona-mutant-sitters?utm_source=api
Monster Mashup,Monster Mashup,Creature — Werewolf Fish Zombie Vampire,4,"Werewolf, Fish, Zombie, Vampire",tmc,common,https://scryfall.com/card/tmc/117/monster-mashup?utm_source=api
Prehistoric Turtlesaurus,Prehistoric Turtlesaurus,Creature — Mutant Ninja Turtle Dinosaur,4,"Mutant, Ninja, Turtle, Dinosaur",tmc,common,https://scryfall.com/card/tmc/127/prehistoric-turtlesaurus?utm_source=api
Priest of Gix,Priest of Gix,Creature — Phyrexian Human Cleric Minion,4,"Phyrexian, Human, Cleric, Minion",dde,uncommon,https://scryfall.com/card/dde/7/priest-of-gix?utm_source=api
Ranger en-Vec,Ranger en-Vec,Creature — Human Soldier Archer Ranger,4,"Human, Soldier, Archer, Ranger",tmp,uncommon,https://scryfall.com/card/tmp/268/ranger-en-vec?utm_source=api
Rathi Assassin,Rathi Assassin,Creature — Phyrexian Zombie Mercenary Assassin,4,"Phyrexian, Zombie, Mercenary, Assassin",nem,rare,https://scryfall.com/card/nem/67/rathi-assassin?utm_source=api
Seton's Scout,Seton's Scout,Creature — Centaur Druid Scout Archer,4,"Centaur, Druid, Scout, Archer",tor,uncommon,https://scryfall.com/card/tor/138/setons-scout?utm_source=api
"Spider-Woman, Secret Agent","Spider-Woman, Secret Agent",Legendary Creature — Spider Human Spy Hero,4,"Spider, Human, Spy, Hero",msh,uncommon,https://scryfall.com/card/msh/229/spider-woman-secret-agent?utm_source=api
"Splinter & Leo, Father & Son","Splinter & Leo, Father & Son",Legendary Creature — Mutant Ninja Rat Turtle,4,"Mutant, Ninja, Rat, Turtle",tmc,rare,https://scryfall.com/card/tmc/103/splinter-&-leo-father-&-son?utm_source=api
Turntimber Ranger,Turntimber Ranger,Creature — Elf Scout Ranger Ally,4,"Elf, Scout, Ranger, Ally",zen,rare,https://scryfall.com/card/zen/191/turntimber-ranger?utm_source=api
A Real Handful,A Real Handful,Creature — Alien Child Guest,3,"Alien, Child, Guest",unf,uncommon,https://scryfall.com/card/unf/87/a-real-handful?utm_source=api
A-Guildsworn Prowler,A-Guildsworn Prowler,Creature — Tiefling Rogue Assassin,3,"Tiefling, Rogue, Assassin",hbg,common,https://scryfall.com/card/hbg/A-160/a-guildsworn-prowler?utm_source=api
A-Krydle of Baldur's Gate,A-Krydle of Baldur's Gate,Legendary Creature — Human Elf Rogue,3,"Human, Elf, Rogue",afr,uncommon,https://scryfall.com/card/afr/A-226/a-krydle-of-baldurs-gate?utm_source=api
A-Rakish Revelers,A-Rakish Revelers,Creature — Elf Druid Rogue,3,"Elf, Druid, Rogue",snc,common,https://scryfall.com/card/snc/A-214/a-rakish-revelers?utm_source=api
A-Rockslide Sorcerer,A-Rockslide Sorcerer,Creature — Human Wizard Sorcerer,3,"Human, Wizard, Sorcerer",znr,uncommon,https://scryfall.com/card/znr/A-154/a-rockslide-sorcerer?utm_source=api
"A-Shessra, Death's Whisper","A-Shessra, Death's Whisper",Legendary Creature — Human Elf Warlock,3,"Human, Elf, Warlock",afr,uncommon,https://scryfall.com/card/afr/A-231/a-shessra-deaths-whisper?utm_source=api
A.I.M. Scientists,A.I.M. Scientists,Creature — Human Scientist Villain,3,"Human, Scientist, Villain",msh,common,https://scryfall.com/card/msh/44/aim-scientists?utm_source=api
Aang and Katara,Aang and Katara,Legendary Creature — Human Avatar Ally,3,"Human, Avatar, Ally",tle,rare,https://scryfall.com/card/tle/69/aang-and-katara?utm_source=api
"Aang, A Lot to Learn","Aang, A Lot to Learn",Legendary Creature — Human Avatar Ally,3,"Human, Avatar, Ally",tle,uncommon,https://scryfall.com/card/tle/146/aang-a-lot-to-learn?utm_source=api
"Aang, Air Nomad","Aang, Air Nomad",Legendary Creature — Human Avatar Ally,3,"Human, Avatar, Ally",tle,rare,https://scryfall.com/card/tle/210/aang-air-nomad?utm_source=api
"Aang, Airbending Master","Aang, Airbending Master",Legendary Creature — Human Avatar Ally,3,"Human, Avatar, Ally",tle,mythic,https://scryfall.com/card/tle/74/aang-airbending-master?utm_source=api
"Aang, Swift Savior // Aang and La, Ocean's Fury","Aang, Swift Savior",Legendary Creature — Human Avatar Ally,3,"Human, Avatar, Ally",tla,rare,https://scryfall.com/card/tla/204/aang-swift-savior-aang-and-la-oceans-fury?utm_source=api
"Aang, Swift Savior // Aang and La, Ocean's Fury","Aang and La, Ocean's Fury",Legendary Creature — Avatar Spirit Ally,3,"Avatar, Spirit, Ally",tla,rare,https://scryfall.com/card/tla/204/aang-swift-savior-aang-and-la-oceans-fury?utm_source=api
"Aang, at the Crossroads // Aang, Destined Savior","Aang, at the Crossroads",Legendary Creature — Human Avatar Ally,3,"Human, Avatar, Ally",tla,rare,https://scryfall.com/card/tla/203/aang-at-the-crossroads-aang-destined-savior?utm_source=api
"Aang, the Last Airbender","Aang, the Last Airbender",Legendary Creature — Human Avatar Ally,3,"Human, Avatar, Ally",tla,uncommon,https://scryfall.com/card/tla/4/aang-the-last-airbender?utm_source=api
